"Name","Team","FP","E","playerid"
"Christian Arroyo","TBR","1.000","0","16434"
"Drew Robinson","TEX",".952","2","11761"
"Jorge Polanco","MIN",".961","6","13152"
"Zack Cozart","LAA",".979","1","2616"
"Matt Davidson","CHW",".947","2","7226"
"Brandon Nimmo","NYM","1.000","0","12927"
"Ehire Adrianza","MIN","1.000","0","8418"
"Leury Garcia","CHW","1.000","0","5913"
"Daniel Castro","COL","1.000","0","15450"
"Eric Sogard","MIL",".981","1","7927"
"A.J. Pollock","ARI",".994","1","9256"
"Wilmer Difo","WSN",".947","2","14320"
"Tyler Naquin","CLE","1.000","0","13359"
"Brock Holt","BOS",".970","1","9345"
"Adalberto Mondesi","KCR",".964","5","13769"
"Jace Peterson","BAL",".981","1","12325"
"Niko Goodrum","DET","1.000","0","12092"
"Cedric Mullins II","BAL","1.000","0","17929"
"Travis Jankowski","SDP","1.000","0","13768"
"Victor Reyes","DET","1.000","0","15487"
"Jose Bautista","- - -",".971","1","1887"
"Maikel Franco","PHI",".952","13","12179"
"Ian Happ","CHC",".923","2","17919"
"Lewis Brinson","MIA",".967","7","14352"
"Jose Lobaton","NYM",".993","1","4243"
"Alex Verdugo","LAD","1.000","0","17027"
"Yangervis Solarte","TOR","1.000","0","5352"
"Wil Myers","SDP","1.000","0","10047"
"Wilmer Flores","NYM",".864","3","5827"
"Travis Shaw","MIL",".976","1","11982"
"Victor Caratini","CHC","1.000","0","14968"
"Ronald Torreyes","NYY",".875","2","11400"
"Austin Barnes","LAD",".966","1","12158"
"Phillip Ervin","CIN",".971","1","14738"
"Neil Walker","NYY",".986","1","7539"
"Mookie Betts","BOS","1.000","0","13611"
"Dan Vogelbach","SEA","1.000","0","14130"
"Brian Goodwin","- - -","1.000","0","12858"
"Marwin Gonzalez","HOU",".985","1","5497"
"Travis Jankowski","SDP",".976","2","13768"
"Alcides Escobar","KCR","1.000","0","6310"
"Erik Gonzalez","CLE",".952","1","13369"
"Trayce Thompson","- - -","1.000","0","9952"
"Dee Gordon","SEA",".978","7","8203"
"Daniel Palka","CHW","1.000","0","14897"
"Tommy La Stella","CHC",".969","1","12371"
"Ehire Adrianza","MIN",".969","6","8418"
"George Springer","HOU",".991","1","12856"
"Jose  Miguel Fernandez","LAA","1.000","0","19254"
"Adam Duvall","CIN",".983","1","10950"
"Jarrod Dyson","ARI",".967","1","4866"
"Shin-Soo Choo","TEX",".950","1","3174"
"Rajai Davis","CLE","1.000","0","3708"
"Matt Davidson","CHW","1.000","0","7226"
"Tommy La Stella","CHC",".917","2","12371"
"Greg Garcia","STL",".882","2","10951"
"Noel Cuevas","COL","1.000","0","11894"
"Eduardo Escobar","- - -",".986","3","6153"
"Willy Adames","TBR",".981","1","15986"
"Cory Spangenberg","SDP",".981","2","12294"
"Logan Forsythe","- - -",".984","4","7185"
"J.B. Shuck","MIA","1.000","0","6677"
"Sean Rodriguez","PIT",".944","3","6589"
"Ryan LaMarre","- - -",".985","1","10700"
"Greg Allen","CLE","1.000","0","16623"
"Lourdes Gurriel","TOR",".980","2","19238"
"Gregorio Petit","MIN",".923","2","3812"
"Max Moroff","PIT",".975","1","14556"
"Daniel Robertson","TBR",".946","2","14145"
"Colby Rasmus","BAL","1.000","0","9893"
"Jurickson Profar","TEX",".938","13","10815"
"Brian Anderson","MIA",".955","4","18289"
"Nick Martini","OAK",".966","1","12005"
"Chris Young","LAA","1.000","0","3882"
"Adam Jones","BAL",".941","1","6368"
"Rafael Ortega","MIA","1.000","0","10323"
"Alen Hanson","SFG","1.000","0","12926"
"Alen Hanson","SFG",".923","1","12926"
"Charlie Culberson","ATL",".950","1","3298"
"Tyler Saladino","MIL",".938","7","10807"
"Tim Federowicz","HOU",".990","1","8609"
"J.T. Realmuto","MIA","1.000","0","11739"
"Mike Gerber","DET","1.000","0","16115"
"Ronny Rodriguez","DET",".929","1","11875"
"Joey Rickard","BAL","1.000","0","13277"
"Yadiel Rivera","MIA",".922","4","11863"
"Moises Sierra","WSN","1.000","0","6050"
"Max Muncy","LAD",".974","1","13301"
"Howie Kendrick","WSN",".965","4","4229"
"J.D. Davis","HOU",".964","1","16219"
"Neil Walker","NYY",".929","1","7539"
"Ben Gamel","SEA","1.000","0","12160"
"Kris Bryant","CHC",".953","9","15429"
"Christian Arroyo","TBR",".923","1","16434"
"Tommy Pham","- - -",".976","5","2967"
"Starlin Castro","MIA",".979","11","4579"
"Chase Utley","LAD",".973","3","1679"
"Brandon Nimmo","NYM","1.000","0","12927"
"Carson Kelly","STL","1.000","0","13620"
"Steve Pearce","- - -","1.000","0","9957"
"Josh Harrison","PIT",".981","6","8202"
"Pedro Florimon","PHI",".980","1","8385"
"Chris Young","LAA","1.000","0","3882"
"Trayce Thompson","CHW","1.000","0","9952"
"Josh Reddick","HOU","1.000","0","3892"
"Victor Caratini","CHC","1.000","0","14968"
"Giovanny Urshela","TOR",".941","1","10681"
"Cam Gallagher","KCR",".980","1","12981"
"Charlie Culberson","ATL",".960","1","3298"
"Chris Owings","ARI","1.000","0","10030"
"Buster Posey","SFG","1.000","0","9166"
"Rob Refsnyder","TBR","1.000","0","13770"
"Jabari Blash","LAA","1.000","0","11247"
"Kevan Smith","CHW",".996","1","12284"
"Matt Szczur","SDP","1.000","0","11255"
"Enrique Hernandez","LAD",".983","1","10472"
"Clint Frazier","NYY","1.000","0","15983"
"Michael Conforto","NYM","1.000","0","16376"
"Jed Lowrie","OAK","1.000","0","4418"
"Tzu-Wei Lin","BOS",".962","2","14678"
"Richard Urena","TOR",".931","2","16411"
"Alex Bregman","HOU",".947","3","17678"
"Brandon Dixon","CIN","1.000","0","15214"
"J.D. Martinez","BOS","1.000","0","6184"
"Eric Thames","MIL","1.000","0","3711"
"Niko Goodrum","DET",".944","1","12092"
"Gorkys Hernandez","SFG",".981","1","4146"
"Andrew Benintendi","BOS",".982","3","17901"
"Tyler Wade","NYY",".980","1","15730"
"Yairo Munoz","STL",".978","1","16313"
"Pablo Sandoval","SFG",".986","1","5409"
"Cameron Maybin","MIA",".975","1","5223"
"Alex Bregman","HOU",".961","10","17678"
"Daniel Robertson","TBR",".933","6","14145"
"Martin Prado","MIA",".981","2","3312"
"Javier Baez","CHC",".972","1","12979"
"Peter Bourjos","ATL","1.000","0","2578"
"Charlie Culberson","ATL",".909","2","3298"
"J.D. Davis","HOU","1.000","0","16219"
"Amed Rosario","NYM",".974","10","15518"
"Brandon Drury","- - -",".875","4","11615"
"Miguel Sano","MIN",".977","2","12164"
"Leury Garcia","CHW",".976","1","5913"
"Jeff McNeil","NYM",".988","1","15362"
"Michael Hermosillo","LAA","1.000","0","16285"
"Cameron Maybin","- - -",".988","1","5223"
"Luis Valbuena","LAA",".953","5","4969"
"Abraham Almonte","KCR","1.000","0","5486"
"Niko Goodrum","DET","1.000","0","12092"
"Logan Forsythe","LAD",".889","4","7185"
"Derek Fisher","HOU","1.000","0","16192"
"Mark Reynolds","WSN",".875","3","7619"
"Gerardo Parra","COL","1.000","0","8553"
"Jose Osuna","PIT",".985","1","12937"
"J.B. Shuck","MIA","1.000","0","6677"
"Jose Reyes","NYM",".944","2","1736"
"Joey Rickard","BAL","1.000","0","13277"
"Derek Dietrich","MIA",".992","1","10542"
"Craig Gentry","BAL",".962","1","9571"
"Tim Beckham","BAL",".938","7","7949"
"Chris Owings","ARI","1.000","0","10030"
"Michael Perez","TBR","1.000","0","12977"
"Cheslor Cuthbert","KCR",".986","1","10473"
"Bryce Harper","WSN",".979","2","11579"
"Cody Bellinger","LAD",".988","1","15998"
"Mason Williams","CIN","1.000","0","11859"
"Hernan Perez","MIL",".978","2","5751"
"Luis Guillorme","NYM",".938","1","16451"
"Daniel Descalso","ARI",".975","3","8392"
"Jurickson Profar","TEX",".939","5","10815"
"Yulieski Gurriel","HOU",".962","1","19198"
"Isiah Kiner-Falefa","TEX",".979","2","16512"
"Justin Turner","LAD",".981","3","5235"
"Jefry Marte","LAA",".929","1","5107"
"Anthony Santander","BAL",".967","2","14551"
"Matt Adams","WSN",".997","1","9393"
"Eduardo Nunez","BOS",".982","4","6848"
"Greg Allen","CLE",".991","1","16623"
"Brandon Guyer","CLE",".957","3","2636"
"Alex Blandino","CIN",".920","2","16271"
"Jesmuel Valentin","PHI","1.000","0","14548"
"Brian Anderson","MIA",".994","1","18289"
"Christian Yelich","MIL",".933","2","11477"
"Joey Gallo","TEX",".991","1","14128"
"Hanley Ramirez","BOS","1.000","0","8001"
"Daniel Descalso","ARI",".967","2","8392"
"Marwin Gonzalez","HOU","1.000","0","5497"
"Yairo Munoz","STL",".938","1","16313"
"Eduardo Escobar","MIN",".986","1","6153"
"Daniel Murphy","WSN","1.000","0","4316"
"Jon Jay","- - -","1.000","0","5227"
"Ian Happ","CHC","1.000","0","17919"
"Andrew Benintendi","BOS",".976","1","17901"
"Miguel Rojas","MIA",".972","2","7802"
"Scott Kingery","PHI",".870","3","17975"
"Jose Altuve","HOU",".979","7","5417"
"Christian Villanueva","SDP",".947","12","11738"
"Jefry Marte","LAA",".992","2","5107"
"Jedd Gyorko","STL",".926","4","10816"
"Kendrys Morales","TOR",".990","1","8610"
"Trey Mancini","BAL",".994","1","15149"
"Jason Heyward","CHC",".990","2","4940"
"David Dahl","COL","1.000","0","13744"
"Pat Valaika","COL",".986","1","14885"
"Danny Valencia","BAL","1.000","0","6364"
"Franchy Cordero","SDP",".941","1","14567"
"Brandon Belt","SFG",".989","8","10264"
"Jose Martinez","STL","1.000","0","7996"
"Alen Hanson","SFG",".979","3","12926"
"Lourdes Gurriel","TOR",".943","4","19238"
"Franklin Barreto","OAK",".968","2","15519"
"Nick Williams","PHI","1.000","0","14330"
"Jace Peterson","- - -","1.000","0","12325"
"Austin Meadows","PIT","1.000","0","15672"
"Gorkys Hernandez","SFG",".979","3","4146"
"Jose Pirela","SDP",".971","7","5485"
"Willie Calhoun","TEX",".966","1","17838"
"Kyle Tucker","HOU",".882","2","18345"
"Ichiro Suzuki","SEA","1.000","0","1101"
"Jace Peterson","BAL",".980","1","12325"
"Boog Powell","OAK",".941","1","15103"
"Jose Reyes","NYM",".880","3","1736"
"Magneuris Sierra","MIA",".943","3","17023"
"Mark Canha","OAK","1.000","0","11445"
"Matt Carpenter","STL","1.000","0","8090"
"Eric Thames","MIL",".985","3","3711"
"Niko Goodrum","DET",".978","2","12092"
"Carlos Asuaje","SDP",".995","1","15197"
"Kyle Higashioka","NYY",".995","1","5517"
"Ryan McMahon","COL",".993","1","15112"
"Adam Eaton","WSN",".929","1","11205"
"Manny Machado","- - -",".980","9","11493"
"Gregor Blanco","SFG",".905","2","3123"
"Hunter Dozier","KCR",".962","1","15117"
"Mikie Mahtook","DET",".985","1","13130"
"Willy Adames","TBR",".930","10","15986"
"David Freese","PIT",".991","1","9549"
"Brian Goodwin","WSN",".929","1","12858"
"Mallex Smith","TBR",".950","2","13608"
"Hunter Pence","SFG",".983","1","8252"
"Edwin Encarnacion","CLE",".992","1","2151"
"Ryan Rua","TEX","1.000","0","12409"
"Dominic Smith","NYM",".987","1","15653"
"Yoan Moncada","CHW",".961","17","17232"
"Joey Gallo","TEX","1.000","0","14128"
"Erik Gonzalez","CLE",".914","5","13369"
"Jace Peterson","- - -",".957","1","12325"
"Brian Dozier","- - -",".980","10","9810"
"Austin Slater","SFG","1.000","0","16153"
"Mallex Smith","TBR","1.000","0","13608"
"Eugenio Suarez","CIN",".946","15","12552"
"Matt Joyce","OAK",".988","1","3353"
"Victor Reyes","DET","1.000","0","15487"
"Dwight Smith Jr.","TOR","1.000","0","13473"
"Tyler White","HOU","1.000","0","15564"
"Gregor Blanco","SFG",".972","1","3123"
"Randal Grichuk","TOR","1.000","0","10243"
"Ben Gamel","SEA",".987","1","12160"
"Austin Meadows","PIT",".950","2","15672"
"Kelby Tomlinson","SFG",".958","5","13005"
"Jake Bauers","TBR","1.000","0","15194"
"Hunter Dozier","KCR",".992","3","15117"
"Matt Carpenter","STL",".990","4","8090"
"Joey Wendle","TBR",".950","1","13853"
"Whit Merrifield","KCR",".938","1","11281"
"Jake Bauers","TBR",".990","4","15194"
"Dee Gordon","SEA",".964","4","8203"
"Shin-Soo Choo","TEX",".969","2","3174"
"Luis Valbuena","LAA",".983","3","4969"
"Josh Reddick","HOU","1.000","0","3892"
"Greg Bird","NYY",".998","1","14131"
"Noel Cuevas","COL","1.000","0","11894"
"Kole Calhoun","LAA",".984","3","11200"
"Rafael Devers","BOS",".929","21","17350"
"Austin Meadows","PIT","1.000","0","15672"
"Hunter Renfroe","SDP",".952","5","15464"
"Zack Cozart","LAA",".957","3","2616"
"Phillip Ervin","CIN",".962","1","14738"
"Devon Travis","TOR",".979","7","13862"
"Alex Gordon","KCR","1.000","0","5209"
"Dominic Smith","NYM","1.000","0","15653"
"Johnny Field","- - -","1.000","0","15048"
"Joe Mauer","MIN",".996","2","1857"
"Jay Bruce","NYM",".982","2","9892"
"Melky Cabrera","CLE","1.000","0","4022"
"Joc Pederson","LAD","1.000","0","11899"
"Pablo Sandoval","SFG",".985","3","5409"
"George Springer","HOU","1.000","0","12856"
"Marcell Ozuna","STL",".987","3","10324"
"Matt Adams","WSN","1.000","0","9393"
"Tyler Austin","- - -",".996","1","11850"
"Jorge Soler","KCR",".975","3","14221"
"Curtis Granderson","TOR",".965","2","4747"
"Ian Happ","CHC",".985","1","17919"
"Ryan Braun","MIL",".979","2","3410"
