"","Rank","Movie","ReleaseDate","Distributor","Genre","MPAA","2018 Gross","Tickets Sold"
"135","135","Unfriended: Dark Web","7/20/2018","OTL Releasing","Horror","R","$8,783,985","979,262"
"136","136","Early Man","2/16/2018","Lionsgate","Adventure","PG","$8,267,544","921,688"
"137","137","The Death of Stalin","3/9/2018","IFC Films","Black Comedy","R","$8,041,828","896,524"
"138","138","The Wife","8/17/2018","Sony Pictures Classics","Drama","R","$7,784,428","867,829"
"139","139","Unsane","3/23/2018","Bleecker Street","Thriller/Suspense","R","$7,690,044","857,307"
"140","140","Downsizing","12/22/2017","Paramount Pictures","Comedy","R","$7,289,080","812,606"
"141","141","Mid90s","10/19/2018","A24","Drama","R","$7,288,628","812,556"
"142","142","Beautiful Boy","10/12/2018","Amazon Studios","Drama","R","$7,088,168","790,208"
"143","143","Dog Days","8/8/2018","LD Entertainment","Romantic Comedy","PG","$6,809,080","759,094"
"144","144","Hotel Artemis","6/8/2018","Global Road","Thriller/Suspense","R","$6,708,137","747,841"
"145","145","A.X.L.","8/24/2018","Global Road","Drama","PG","$6,501,381","724,791"
"146","146","Fahrenheit 11/9","9/21/2018","Briarcliffe Entertainment","Documentary","R","$6,352,306","708,172"
"147","147","Can You Ever Forgive Me?","10/19/2018","Fox Searchlight","Drama","R","$6,241,770","695,849"
"148","148","Unbroken: Path to Redemption","9/14/2018","Pure Flix Entertainment","Drama","PG-13","$6,216,488","693,030"
"149","149","The Hurricane Heist","3/9/2018","Entertainment Studios Motion Pictures","Thriller/Suspense","PG-13","$6,115,824","681,808"
"150","150","Every Day","2/23/2018","Orion Pictures","Drama","PG-13","$6,112,914","681,484"
"151","151","Leave No Trace","6/29/2018","Bleecker Street","Drama","PG","$6,046,104","674,036"
"152","152","Death of a Nation","8/3/2018","Quality Flix","Documentary","PG-13","$5,885,881","656,174"
"153","153","God’s Not Dead: A Light in Darkness","3/30/2018","Pure Flix Entertainment","Drama","PG","$5,728,940","638,677"
"154","154","Kin","8/31/2018","Lionsgate","Action","PG-13","$5,718,096","637,468"
"155","155","Colette","9/21/2018","Bleecker Street","Drama","R","$5,126,985","571,570"
"156","156","Action Point","6/1/2018","Paramount Pictures","Comedy","R","$5,059,608","564,058"
"157","157","Beirut","4/11/2018","Bleecker Street","Action","R","$5,019,226","559,556"
"158","158","Boy Erased","11/2/2018","Focus Features","Drama","R","$4,992,437","556,570"
"159","159","Gringo","3/9/2018","STX Entertainment","Black Comedy","R","$4,969,853","554,052"
"160","160","Samson","2/16/2018","Pure Flix Entertainment","Drama","PG-13","$4,719,928","526,190"
"161","161","Father Figures","12/22/2017","Warner Bros.","Comedy","R","$4,615,957","514,599"
"162","162","Blindspotting","7/20/2018","Lionsgate","Drama","R","$4,333,394","483,098"
"163","163","Gotti","6/15/2018","Vertical Entertainment","Drama","R","$4,286,367","477,855"
"164","164","Johnny English Strikes Again","10/26/2018","Focus Features","Comedy","PG","$4,285,545","477,764"
"165","165","Ya Veremos","8/31/2018","Lionsgate","Drama","PG-13","$4,165,949","464,431"
"166","166","Life Itself","9/21/2018","Amazon Studios","Drama","R","$4,095,431","456,569"
"167","167","Thor: Ragnarok","11/3/2017","Walt Disney","Action","PG-13","$3,833,139","427,328"
"168","168","Gosnell: The Trial of America's Biggest Serial Killer","10/12/2018","GVN Releasing","","PG-13","$3,653,198","407,268"
"169","169","2018 Oscar Shorts","2/9/2018","ShortsHD","Multiple Genres","Not Rated","$3,508,777","391,168"
"170","170","Indivisible","10/26/2018","Pure Flix Entertainment","Drama","PG-13","$3,488,575","388,915"
"171","171","Disobedience","4/27/2018","Bleecker Street","Drama","R","$3,480,702","388,038"
"172","172","Justice League","11/17/2017","Warner Bros.","Action","PG-13","$3,478,000","387,736"
"173","173","First Reformed","5/18/2018","A24","Thriller/Suspense","R","$3,448,256","384,420"
"174","174","Juliet, Naked","8/17/2018","Roadside Attractions","Romantic Comedy","R","$3,444,895","384,046"
